event_id,order_id,customer_id,product_id,status,amount,currency,event_time_ts
evt-1001,1001,501,P-LAP-01,NEW,1299.99,USD,2026-05-29 08:00:01
evt-1002,1002,502,P-PHN-02,NEW,799.0,USD,2026-05-29 08:00:05
evt-1003,1003,503,P-HDP-03,NEW,149.5,USD,2026-05-29 08:00:08
evt-1004,1002,502,P-PHN-02,NEW,799.0,USD,2026-05-29 08:00:05
evt-1005,1004,504,P-CAM-04,CANCELLED,450.0,USD,2026-05-29 08:00:20
evt-1006,1005,505,P-BAG-05,NEW,-10.0,USD,2026-05-29 08:00:30
evt-1007,1001,501,P-LAP-01,SHIPPED,1299.99,USD,2026-05-30 15:00:01
evt-1008,1006,504,P-BAG-05,NEW,89.99,EUR,2026-05-30 15:05:00
evt-1009,1007,999,P-CAM-04,NEW,450.0,USD,2026-05-30 15:07:00
evt-1010,1008,506,,NEW,25.0,USD,2026-05-30 15:10:00
evt-1011,1002,502,P-PHN-02,CANCELLED,799.0,USD,2026-05-30 15:12:00
evt-1012,1009,505,P-SVC-99,PAID,40.0,USD,2026-05-30 15:15:00
